Distance_km,Traffic_Density,Road_Type,Time_of_Day,Day_of_Week,Weather,Num_Traffic_Signals,Speed_Limit_kmph,Incident_Type,Population_Density_per_km2,Response_Time_minutes
3.01,Medium,Secondary,Night,Wed,Clear,3,50,Medical,6383,2.89
2.3,Low,Residential,Morning,Tue,Clear,4,30,Crime,4664,6.69
0.28,High,Primary,Evening,Sat,Clear,4,60,Other,5697,2.8
5.41,Low,Primary,Night,Sat,Clear,2,60,Crime,6118,3.52
1.16,Low,Secondary,Night,Wed,Clear,1,70,Medical,5266,1.26
0.62,Low,Residential,Night,Fri,Clear,3,40,Medical,8617,2.71
0.12,Medium,Secondary,Evening,Fri,Clear,3,60,Crime,8263,1.0
2.68,Medium,Residential,Afternoon,Sun,Clear,4,40,Crime,5426,8.34
3.4,Medium,Residential,Night,Sun,Clear,2,60,Medical,8235,4.65
0.05,Low,Primary,Night,Thu,Clear,6,50,Medical,5719,2.96
2.15,Medium,Primary,Afternoon,Wed,Rain,4,60,Fire,9516,5.65
0.77,Low,Primary,Afternoon,Tue,Clear,5,60,Fire,6344,2.58
3.11,Low,Primary,Afternoon,Thu,Clear,3,50,Medical,200,2.01
0.57,Low,Primary,Afternoon,Thu,Clear,1,50,Fire,7097,1.0
3.52,Medium,Residential,Morning,Wed,Clear,1,40,Fire,5789,9.61
1.47,Low,Primary,Evening,Wed,Rain,3,50,Medical,5408,1.0
8.28,Medium,Primary,Evening,Thu,Clear,3,50,Medical,1928,14.97
0.44,Medium,Primary,Afternoon,Thu,Clear,6,60,Medical,5652,2.53
1.25,Medium,Residential,Morning,Thu,Clear,1,50,Medical,9129,3.22
0.36,Medium,Secondary,Evening,Mon,Rain,3,50,Crime,5351,2.18
7.76,Low,Residential,Morning,Thu,Clear,6,60,Medical,4359,10.89
6.3,Low,Residential,Morning,Fri,Clear,5,60,Crime,1574,9.49
0.89,Medium,Secondary,Evening,Sat,Clear,2,50,Medical,3551,2.49
3.24,Medium,Primary,Afternoon,Tue,Clear,4,40,Medical,5580,7.23
5.1,High,Primary,Morning,Tue,Clear,2,50,Crime,6650,13.94
2.43,High,Primary,Afternoon,Sat,Clear,2,50,Crime,2798,5.38
2.26,Low,Secondary,Evening,Wed,Rain,1,60,Medical,3489,4.01
0.83,Low,Primary,Evening,Sun,Clear,3,50,Crime,4305,2.76
0.29,Medium,Primary,Afternoon,Thu,Clear,2,70,Fire,3004,1.0
6.83,Low,Secondary,Morning,Tue,Rain,6,50,Medical,6679,12.22
6.92,Low,Secondary,Evening,Tue,Rain,5,60,Fire,5638,12.32
3.01,High,Secondary,Night,Fri,Clear,3,50,Medical,2960,6.74
1.24,Low,Primary,Evening,Fri,Clear,4,50,Fire,4876,3.87
1.29,High,Residential,Evening,Mon,Rain,5,30,Medical,7212,10.42
3.88,Medium,Secondary,Afternoon,Sat,Clear,4,60,Medical,6054,5.12
6.82,Medium,Primary,Evening,Mon,Clear,4,70,Medical,1442,8.56
6.54,Low,Residential,Night,Tue,Clear,1,60,Medical,6408,5.65
4.54,Low,Residential,Evening,Wed,Clear,4,50,Medical,5436,7.47
3.08,Medium,Primary,Night,Tue,Rain,2,60,Other,4824,3.36
0.26,Low,Primary,Afternoon,Wed,Clear,5,60,Other,5524,3.93
0.53,Low,Secondary,Night,Sun,Clear,2,60,Crime,6610,1.0
6.86,Low,Primary,Evening,Tue,Clear,5,40,Crime,6052,14.87
2.8,Low,Residential,Night,Fri,Clear,6,60,Medical,7473,6.54
0.03,Low,Primary,Morning,Thu,Rain,3,60,Fire,5968,1.0
0.32,Medium,Residential,Evening,Tue,Clear,3,60,Crime,11158,2.17
3.27,Low,Secondary,Evening,Mon,Clear,2,60,Medical,6365,2.09
0.02,Low,Secondary,Morning,Sun,Clear,5,50,Crime,4394,3.92
0.53,Medium,Primary,Evening,Sun,Clear,2,40,Medical,2949,2.0
2.39,High,Primary,Evening,Wed,Clear,1,70,Medical,7149,4.89
3.53,Low,Primary,Afternoon,Wed,Rain,4,60,Crime,4467,5.86
3.17,Low,Primary,Afternoon,Tue,Clear,4,50,Medical,5696,4.71
0.76,Medium,Primary,Evening,Wed,Clear,5,50,Medical,4816,2.43
3.74,High,Residential,Afternoon,Mon,Clear,3,70,Medical,4667,8.03
0.81,Medium,Primary,Morning,Fri,Clear,1,40,Fire,817,3.42
1.18,Medium,Residential,Morning,Thu,Clear,1,70,Fire,6333,2.08
4.12,Low,Secondary,Morning,Thu,Clear,7,50,Medical,5522,7.48
3.15,Medium,Residential,Afternoon,Wed,Clear,1,40,Fire,2264,8.08
5.68,Low,Residential,Morning,Tue,Fog,1,50,Medical,7606,13.38
3.22,Medium,Primary,Evening,Wed,Clear,4,60,Medical,876,6.1
2.52,Medium,Residential,Evening,Sun,Clear,2,50,Medical,6116,3.71
0.3,High,Secondary,Evening,Mon,Clear,6,50,Other,6300,1.99
1.38,Low,Residential,Morning,Sat,Clear,5,60,Crime,5189,1.76
0.92,Low,Secondary,Afternoon,Tue,Rain,1,60,Medical,12119,1.84
0.84,Medium,Secondary,Afternoon,Fri,Snow,2,60,Fire,12116,1.0
10.84,Medium,Primary,Evening,Mon,Clear,1,40,Crime,2655,23.25
1.5,Medium,Primary,Evening,Fri,Rain,6,50,Medical,3147,7.02
6.68,Low,Secondary,Night,Tue,Clear,3,50,Crime,5784,8.88
2.99,Low,Residential,Morning,Fri,Clear,2,40,Medical,3102,3.8
4.75,Medium,Secondary,Evening,Mon,Clear,7,50,Fire,6565,11.82
2.1,Low,Primary,Afternoon,Mon,Rain,1,60,Medical,11897,2.64
2.58,High,Residential,Evening,Wed,Clear,2,30,Medical,5452,10.53
2.03,Medium,Residential,Afternoon,Sat,Rain,6,40,Other,6392,7.77
0.65,Medium,Primary,Afternoon,Tue,Clear,2,60,Medical,1701,1.73
3.85,Medium,Primary,Morning,Thu,Clear,2,50,Fire,3103,6.27
0.99,Medium,Primary,Evening,Sun,Clear,1,60,Fire,200,1.51
0.07,Low,Residential,Afternoon,Sat,Clear,2,70,Fire,4332,1.89
3.11,High,Residential,Morning,Thu,Clear,3,50,Fire,8183,9.27
0.58,Low,Primary,Morning,Fri,Rain,5,30,Other,2312,3.33
8.46,Medium,Primary,Night,Thu,Clear,2,50,Other,6419,11.82
9.23,Low,Residential,Afternoon,Thu,Clear,4,70,Fire,4512,10.43
7.39,Medium,Residential,Night,Sun,Clear,2,50,Medical,5539,10.76
1.39,Low,Residential,Night,Mon,Rain,4,50,Fire,10322,4.5
0.05,Low,Secondary,Night,Mon,Clear,2,60,Crime,7931,1.0
7.91,High,Primary,Night,Mon,Rain,5,40,Fire,4504,20.65
1.68,Low,Secondary,Night,Thu,Rain,6,60,Medical,4068,3.36
10.2,Medium,Primary,Afternoon,Fri,Clear,1,60,Fire,3168,11.5
9.94,High,Residential,Morning,Tue,Clear,3,60,Other,9697,21.61
5.75,Low,Primary,Evening,Sun,Clear,4,50,Medical,6909,7.77
1.05,Medium,Residential,Afternoon,Wed,Clear,3,60,Medical,7516,3.62
1.46,Low,Primary,Morning,Fri,Clear,5,60,Other,3507,5.08
5.71,Low,Residential,Evening,Sun,Clear,6,70,Crime,5490,9.39
1.14,Low,Primary,Evening,Sun,Rain,5,60,Medical,5009,5.86
0.56,High,Secondary,Night,Mon,Clear,4,50,Medical,1932,2.08
2.44,Low,Secondary,Evening,Fri,Clear,4,50,Other,2186,6.4
8.25,Medium,Primary,Evening,Tue,Clear,3,60,Crime,1675,11.61
3.57,Medium,Residential,Afternoon,Sat,Clear,2,60,Fire,4866,5.81
2.53,High,Secondary,Afternoon,Mon,Rain,2,60,Crime,1438,6.58
0.31,Low,Secondary,Night,Tue,Clear,5,40,Fire,9609,1.0
2.86,Medium,Residential,Morning,Sat,Clear,5,60,Fire,9035,7.69
13.83,Medium,Residential,Afternoon,Wed,Clear,3,50,Other,3059,27.68
0.45,Medium,Secondary,Evening,Fri,Clear,1,60,Medical,1754,1.0
2.19,High,Residential,Afternoon,Wed,Clear,4,50,Fire,5478,5.54
6.3,High,Primary,Afternoon,Sun,Clear,6,50,Crime,5402,14.86
4.05,Low,Primary,Afternoon,Thu,Clear,4,50,Medical,4338,6.54
3.58,Medium,Secondary,Morning,Fri,Clear,4,50,Fire,6900,7.55
3.64,Low,Primary,Afternoon,Sun,Fog,2,60,Medical,2867,3.56
1.34,Low,Secondary,Night,Sat,Clear,5,50,Medical,5265,3.83
1.04,Medium,Primary,Afternoon,Thu,Clear,2,50,Medical,2843,2.92
4.97,Low,Secondary,Morning,Tue,Rain,1,50,Medical,2639,6.69
4.98,Low,Residential,Afternoon,Thu,Rain,2,40,Fire,6513,12.6
6.05,High,Secondary,Morning,Sat,Clear,4,60,Medical,5243,12.41
7.33,Low,Residential,Night,Sat,Clear,2,70,Fire,8818,4.57
2.15,High,Residential,Afternoon,Tue,Snow,5,50,Crime,1354,11.28
2.09,Medium,Primary,Night,Wed,Clear,9,40,Fire,1635,5.69
4.8,Medium,Primary,Afternoon,Mon,Clear,2,70,Crime,8148,7.68
3.15,High,Primary,Evening,Wed,Clear,3,50,Medical,3461,5.73
3.63,Low,Residential,Afternoon,Sun,Clear,0,40,Crime,5266,7.62
4.77,Low,Primary,Morning,Thu,Clear,2,70,Crime,5786,6.35
6.62,Low,Primary,Morning,Tue,Clear,6,60,Medical,4020,5.92
1.24,Low,Residential,Evening,Thu,Rain,4,40,Other,4275,6.41
1.41,High,Secondary,Afternoon,Sat,Clear,1,50,Other,5318,1.24
0.3,High,Primary,Afternoon,Sun,Clear,1,60,Crime,2954,1.36
2.59,Low,Primary,Evening,Sun,Clear,2,50,Other,4465,3.62
0.11,Low,Residential,Morning,Mon,Clear,6,60,Medical,7326,1.0
1.88,Low,Residential,Afternoon,Fri,Clear,0,30,Medical,4541,2.96
2.35,Low,Primary,Evening,Fri,Clear,3,60,Other,2093,3.36
1.01,Medium,Secondary,Afternoon,Fri,Clear,1,50,Medical,6582,4.81
2.68,Low,Residential,Evening,Thu,Clear,2,50,Fire,6667,4.88
0.09,Medium,Residential,Afternoon,Fri,Rain,2,60,Medical,3878,1.05
0.11,Low,Residential,Afternoon,Tue,Clear,4,50,Medical,200,1.0
5.19,Low,Secondary,Morning,Mon,Clear,4,40,Medical,5535,7.63
1.34,Medium,Residential,Night,Sun,Rain,3,50,Medical,10749,3.41
0.41,Medium,Primary,Night,Sat,Clear,1,50,Fire,6952,2.72
2.22,High,Primary,Night,Wed,Clear,1,50,Medical,3171,2.3
4.41,High,Secondary,Afternoon,Sat,Clear,1,40,Medical,200,13.89
0.73,Low,Secondary,Evening,Tue,Clear,1,40,Crime,3066,1.15
2.93,Low,Residential,Afternoon,Mon,Clear,7,60,Fire,6595,8.19
0.27,High,Primary,Afternoon,Wed,Clear,2,60,Fire,4078,2.17
0.16,High,Residential,Evening,Fri,Clear,0,30,Fire,7648,1.0
2.27,High,Primary,Morning,Wed,Fog,1,60,Medical,2352,5.44
2.33,Low,Secondary,Morning,Sun,Clear,3,40,Medical,2391,4.29
3.04,High,Primary,Afternoon,Thu,Clear,2,60,Medical,2943,3.76
3.88,Low,Secondary,Evening,Thu,Clear,4,40,Medical,6596,8.34
11.17,Medium,Secondary,Afternoon,Fri,Clear,5,70,Fire,4704,14.53
2.18,High,Primary,Afternoon,Fri,Clear,0,70,Fire,3652,1.97
1.17,Low,Primary,Night,Tue,Clear,5,40,Medical,6989,3.97
4.76,High,Secondary,Afternoon,Tue,Clear,3,30,Medical,8159,19.23
0.95,Low,Residential,Morning,Sat,Clear,1,40,Medical,972,3.63
1.73,High,Primary,Evening,Sun,Clear,4,60,Other,7581,6.35
0.25,Low,Primary,Evening,Thu,Clear,1,40,Other,4497,1.0
0.08,High,Primary,Morning,Mon,Clear,7,60,Crime,7777,2.75
9.86,Low,Residential,Evening,Tue,Clear,4,60,Fire,5371,14.74
5.42,Medium,Primary,Morning,Mon,Snow,2,50,Other,7110,13.89
3.57,Medium,Primary,Afternoon,Sat,Rain,2,60,Medical,2210,7.24
1.58,Medium,Residential,Afternoon,Thu,Snow,3,60,Medical,2742,2.61
0.57,Low,Secondary,Afternoon,Tue,Fog,2,60,Medical,4502,1.59
0.51,Medium,Primary,Afternoon,Mon,Clear,1,40,Medical,1137,1.53
0.86,Low,Residential,Night,Sat,Clear,6,50,Fire,2151,3.59
2.39,Medium,Secondary,Evening,Mon,Clear,4,40,Medical,7639,6.31
3.76,Low,Secondary,Night,Tue,Clear,4,50,Medical,1304,6.47
3.24,High,Primary,Evening,Fri,Clear,2,50,Other,2691,7.94
0.99,Low,Residential,Morning,Sat,Clear,3,70,Other,4441,1.27
9.29,Low,Primary,Afternoon,Sat,Clear,3,30,Fire,5100,16.89
4.02,Low,Primary,Night,Wed,Clear,3,50,Medical,1304,3.13
2.42,Low,Primary,Evening,Fri,Clear,2,60,Medical,3622,1.91
2.84,Low,Residential,Night,Sat,Snow,3,50,Other,5050,5.96
1.63,Medium,Secondary,Morning,Wed,Clear,5,50,Medical,6243,4.41
0.85,High,Secondary,Afternoon,Mon,Rain,4,60,Medical,2430,1.71
1.32,Medium,Primary,Afternoon,Tue,Clear,4,70,Crime,1614,3.88
4.25,Medium,Secondary,Afternoon,Sat,Clear,1,30,Fire,2000,9.07
0.04,Low,Residential,Afternoon,Thu,Clear,0,40,Other,4685,1.0
0.37,Medium,Primary,Afternoon,Tue,Clear,1,50,Fire,3730,1.0
0.14,Low,Residential,Evening,Fri,Fog,1,60,Medical,4719,1.0
0.12,Medium,Primary,Afternoon,Wed,Clear,4,60,Crime,4429,3.74
5.8,Low,Residential,Morning,Tue,Clear,3,40,Medical,4220,10.98
3.65,Low,Primary,Evening,Wed,Clear,6,40,Medical,4371,6.35
1.93,Low,Secondary,Afternoon,Fri,Clear,3,70,Fire,5906,3.17
0.31,High,Residential,Evening,Fri,Fog,3,40,Medical,7594,1.12
2.03,Low,Residential,Afternoon,Tue,Clear,5,50,Medical,5345,6.23
1.92,Medium,Primary,Night,Sat,Clear,3,60,Fire,6226,1.0
0.57,Low,Secondary,Evening,Thu,Clear,3,50,Crime,2232,1.41
1.71,Medium,Primary,Night,Sat,Clear,2,50,Medical,8519,3.1
1.53,High,Residential,Afternoon,Sun,Clear,6,50,Crime,6288,4.75
2.87,Low,Secondary,Afternoon,Thu,Clear,1,50,Medical,8844,5.41
3.02,Medium,Primary,Afternoon,Wed,Clear,4,50,Medical,4377,7.17
0.14,High,Primary,Afternoon,Tue,Clear,4,40,Fire,4383,1.1
1.41,Medium,Residential,Afternoon,Mon,Clear,3,60,Medical,1671,2.51
2.95,Medium,Secondary,Evening,Fri,Clear,4,60,Medical,7095,5.11
2.1,Medium,Primary,Morning,Sat,Clear,0,30,Fire,1586,4.87
5.82,Medium,Primary,Evening,Wed,Clear,5,60,Other,5488,10.33
3.22,Low,Primary,Evening,Fri,Clear,1,60,Fire,7662,2.28
0.53,High,Secondary,Evening,Wed,Clear,6,70,Medical,4407,5.64
0.22,Low,Residential,Afternoon,Tue,Clear,4,60,Crime,4675,3.79
3.09,Low,Residential,Night,Wed,Clear,5,60,Fire,9893,7.6
